KAN_B

 ======== test get_l2 ========= 

2026-02-10 15:54:34,808; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/KAN_B.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 15:54:34,886; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'KAN_B.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 15:54:34,903; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_B_300034012256830_1.txt
2026-02-10 15:54:34,995; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_300034012256830_1.txt
2026-02-10 15:54:35,004; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_B_300034012256830_2.txt
2026-02-10 15:54:35,050; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_300034012256830_2.txt
2026-02-10 15:54:35,093; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 15:54:36,263; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 15:54:36,975; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 15:54:37,469; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 32/21296
2026-02-10 15:54:37,742; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/21296
2026-02-10 15:54:37,785; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 24/21296
2026-02-10 15:54:38,120; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/21296
2026-02-10 15:54:38,157; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 31/21296
2026-02-10 15:54:38,413; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/21296
2026-02-10 15:54:38,451; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 39/21296
2026-02-10 15:54:38,705; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 1/21296
2026-02-10 15:54:38,720; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:38,968; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:39,213; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:39,444; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:39,691; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:39,932; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:40,175; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:40,413; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/21296
2026-02-10 15:54:40,657; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/21296
2026-02-10 15:54:40,902; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/21296
2026-02-10 15:54:41,149; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/21296
2026-02-10 15:54:41,392; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/21296
2026-02-10 15:54:41,850; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2026-02-10 15:54:42,237; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_B.csv
2026-02-10 15:54:42,237; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/KAN_B.csv file to read.
2026-02-10 15:54:42,612; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2026-02-10 15:54:42,622; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 2.63 flagged 441/21296
2026-02-10 15:54:42,629; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u min_filter 2.37 flagged 119/21296
2026-02-10 15:54:42,631; INFO; pypromice.core.qc.github_data_issues; ---> None 2011-07-01 00:00:00 z_boom_cor_u min_filter 2.6
2026-02-10 15:54:42,631; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2026-02-10 15:54:43,890; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 15:54:44,274; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 15:54:44,365; INFO; pypromice.io.write; Writing to files...
2026-02-10 15:54:46,417; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/KAN_B/KAN_B_hour.csv
2026-02-10 15:54:46,417; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/KAN_B/KAN_B_hour.nc
2026-02-10 15:54:46,417; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//raw/config/KAN_B.toml, inpath=../aws-l0//raw/KAN_B/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 15:54:46,461; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'KAN_B.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 15:54:46,476; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw.txt
2026-02-10 15:54:46,582; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw.txt
2026-02-10 15:54:46,770; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2012_raw.txt
2026-02-10 15:54:47,363; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw_3.txt
2026-02-10 15:54:47,401; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2012_raw_3.txt
2026-02-10 15:54:47,469; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2012_raw_3.txt
2026-02-10 15:54:48,392; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2013_raw.txt
2026-02-10 15:54:48,475; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2013_raw.txt
2026-02-10 15:54:48,619; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2013_raw.txt
2026-02-10 15:54:48,625; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_1.txt
2026-02-10 15:54:48,754; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_1.txt
2026-02-10 15:54:48,943; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_1.txt
2026-02-10 15:54:48,953; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_2.txt
2026-02-10 15:54:48,954; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_2.txt
2026-02-10 15:54:48,964; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_2.txt
2026-02-10 15:54:49,238; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_3.txt
2026-02-10 15:54:49,260; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2014_raw_3.txt
2026-02-10 15:54:49,301; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2014_raw_3.txt
2026-02-10 15:54:50,281; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_1.txt
2026-02-10 15:54:50,350; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_1.txt
2026-02-10 15:54:50,480; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_1.txt
2026-02-10 15:54:50,812; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_2.txt
2026-02-10 15:54:50,843; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_2.txt
2026-02-10 15:54:50,892; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_2.txt
2026-02-10 15:54:51,012; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_3.txt
2026-02-10 15:54:51,019; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2015_raw_3.txt
2026-02-10 15:54:51,045; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2015_raw_3.txt
2026-02-10 15:54:52,024; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_1.txt
2026-02-10 15:54:52,096; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_1.txt
2026-02-10 15:54:52,279; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2016_raw_1.txt
2026-02-10 15:54:52,611; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_2.txt
2026-02-10 15:54:52,638; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2016_raw_2.txt
2026-02-10 15:54:52,688; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2016_raw_2.txt
2026-02-10 15:54:52,695; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2017_raw.txt
2026-02-10 15:54:52,835; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2017_raw.txt
2026-02-10 15:54:53,148; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2017_raw.txt
2026-02-10 15:54:53,154; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2018_raw.txt
2026-02-10 15:54:53,359; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2018_raw.txt
2026-02-10 15:54:53,695; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2018_raw.txt
2026-02-10 15:54:53,700; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2021_raw.txt
2026-02-10 15:54:53,896; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2021_raw.txt
2026-02-10 15:54:54,285; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2021_raw.txt
2026-02-10 15:54:55,254; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2022_raw.txt
2026-02-10 15:54:55,305; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2022_raw.txt
2026-02-10 15:54:55,417; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2022_raw.txt
2026-02-10 15:54:56,357; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2023_raw.txt
2026-02-10 15:54:56,405; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2023_raw.txt
2026-02-10 15:54:56,576; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2023_raw.txt
2026-02-10 15:54:56,717; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_1.txt
2026-02-10 15:54:56,723; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_1.txt
2026-02-10 15:54:56,743; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2024_raw_1.txt
2026-02-10 15:54:57,851; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_2.txt
2026-02-10 15:54:57,910; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2024_raw_2.txt
2026-02-10 15:54:58,084; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2024_raw_2.txt
2026-02-10 15:54:59,204; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2025_TableMem.dat
2026-02-10 15:54:59,282; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_B/KAN_B_2025_TableMem.dat
2026-02-10 15:54:59,447; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_B_2025_TableMem.dat
2026-02-10 15:54:59,771; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 15:55:48,055; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 15:56:07,013; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 15:56:18,196; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 61/756542
2026-02-10 15:56:27,088; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 10/756542
/home/bav/pypromice/src/pypromice/core/qc/rate_of_change_filter.py:198: RuntimeWarning: invalid value encountered in subtract
  dv = v[1:] - v[:-1]
2026-02-10 15:56:28,085; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 110/756542
/home/bav/pypromice/src/pypromice/core/qc/rate_of_change_filter.py:198: RuntimeWarning: invalid value encountered in subtract
  dv = v[1:] - v[:-1]
2026-02-10 15:56:36,959; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/756542
2026-02-10 15:56:37,941; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 16/756542
2026-02-10 15:56:46,867; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 2/756542
2026-02-10 15:56:47,836; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 93/756542
2026-02-10 15:56:57,485; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 10/756542
2026-02-10 15:56:57,602; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:05,518; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:13,374; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:21,089; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:28,980; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:36,909; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:44,848; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:57:53,484; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/756542
2026-02-10 15:58:01,116; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/756542
2026-02-10 15:58:09,010; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/756542
2026-02-10 15:58:16,778; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/756542
2026-02-10 15:58:24,596; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/756542
2026-02-10 15:58:40,978; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_B.csv
2026-02-10 15:58:52,188; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_B.csv
