LYN_T

 ======== test get_l2 ========= 

2026-02-10 16:10:56,567; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/LYN_T.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:10:56,614; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'LYN_T.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:10:56,631; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/LYN_T_300234066313290_1.txt
2026-02-10 16:10:56,707; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from LYN_T_300234066313290_1.txt
2026-02-10 16:10:56,714; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:10:57,124; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:10:57,528; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:10:57,947; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/12720
2026-02-10 16:10:58,139; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/12720
2026-02-10 16:10:58,296; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/12720
2026-02-10 16:10:58,452; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 5/12720
2026-02-10 16:10:58,643; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 1/12720
2026-02-10 16:10:58,675; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 1/12720
2026-02-10 16:10:58,855; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:10:58,875; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:10:59,028; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 1/12720
2026-02-10 16:10:59,200; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:10:59,229; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:10:59,413; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/12720
2026-02-10 16:10:59,615; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 5/12720
2026-02-10 16:10:59,646; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:10:59,843; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:11:00,070; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/12720
2026-02-10 16:11:00,238; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/12720
2026-02-10 16:11:00,439; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/12720
2026-02-10 16:11:00,618; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 1/12720
2026-02-10 16:11:00,767; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 1/12720
2026-02-10 16:11:00,790; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 1/12720
2026-02-10 16:11:00,934; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 1/12720
2026-02-10 16:11:01,067; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
2026-02-10 16:11:01,335; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/LYN_T.csv
2026-02-10 16:11:01,347; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-25 00:00:00 2021-09-27 00:00:00 dlr with RIME, flagged 49/12720
2026-02-10 16:11:01,352; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-25 00:00:00 2021-09-27 00:00:00 ulr with RIME, flagged 49/12720
2026-02-10 16:11:01,357; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-25 00:00:00 2021-09-27 00:00:00 dsr with RIME, flagged 49/12720
2026-02-10 16:11:01,361; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-09-25 00:00:00 2021-09-27 00:00:00 usr with RIME, flagged 49/12720
2026-02-10 16:11:01,366; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-04 00:00:00 2021-10-08 00:00:00 dlr with RIME, flagged 97/12720
2026-02-10 16:11:01,370; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-04 00:00:00 2021-10-08 00:00:00 ulr with RIME, flagged 97/12720
2026-02-10 16:11:01,374; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-04 00:00:00 2021-10-08 00:00:00 dsr with RIME, flagged 97/12720
2026-02-10 16:11:01,378; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-04 00:00:00 2021-10-08 00:00:00 usr with RIME, flagged 97/12720
2026-02-10 16:11:01,383; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-11 00:00:00 2021-10-17 00:00:00 dlr with RIME, flagged 145/12720
2026-02-10 16:11:01,387; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-11 00:00:00 2021-10-17 00:00:00 ulr with RIME, flagged 145/12720
2026-02-10 16:11:01,391; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-11 00:00:00 2021-10-17 00:00:00 dsr with RIME, flagged 145/12720
2026-02-10 16:11:01,395; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-11 00:00:00 2021-10-17 00:00:00 usr with RIME, flagged 145/12720
2026-02-10 16:11:01,400; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-21 00:00:00 2021-10-30 00:00:00 dlr with RIME, flagged 217/12720
2026-02-10 16:11:01,404; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-21 00:00:00 2021-10-30 00:00:00 ulr with RIME, flagged 217/12720
2026-02-10 16:11:01,408; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-21 00:00:00 2021-10-30 00:00:00 dsr with RIME, flagged 217/12720
2026-02-10 16:11:01,412; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2021-10-21 00:00:00 2021-10-30 00:00:00 usr with RIME, flagged 217/12720
2026-02-10 16:11:01,416; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-04-08 00:00:00 2022-04-11 00:00:00 dlr with RIME, flagged 73/12720
2026-02-10 16:11:01,421; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-04-08 00:00:00 2022-04-11 00:00:00 ulr with RIME, flagged 73/12720
2026-02-10 16:11:01,425; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-04-08 00:00:00 2022-04-11 00:00:00 dsr with RIME, flagged 73/12720
2026-02-10 16:11:01,429; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-04-08 00:00:00 2022-04-11 00:00:00 usr with RIME, flagged 73/12720
2026-02-10 16:11:01,434; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-21 00:00:00 2022-09-25 00:00:00 dlr with RIME, flagged 97/12720
2026-02-10 16:11:01,438; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-21 00:00:00 2022-09-25 00:00:00 ulr with RIME, flagged 97/12720
2026-02-10 16:11:01,442; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-21 00:00:00 2022-09-25 00:00:00 dsr with RIME, flagged 97/12720
2026-02-10 16:11:01,446; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-09-21 00:00:00 2022-09-25 00:00:00 usr with RIME, flagged 97/12720
