SCO_U

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:36:59,525; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'SCO_U.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:36:59,546; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SCO_U_300234065157600_1.txt
2026-02-10 16:36:59,612; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_300234065157600_1.txt
2026-02-10 16:36:59,623; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:37:00,156; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:37:00,628; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:37:00,997; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 0/9378
2026-02-10 16:37:01,134; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 1/9378
2026-02-10 16:37:01,257; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 0/9378
2026-02-10 16:37:01,279; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/9378
2026-02-10 16:37:01,401; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 0/9378
2026-02-10 16:37:01,518; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:01,669; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:01,847; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:01,964; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 2/9378
2026-02-10 16:37:02,123; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:02,156; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 2/9378
2026-02-10 16:37:02,274; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:02,292; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 2/9378
2026-02-10 16:37:02,408; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:02,425; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 1/9378
2026-02-10 16:37:02,583; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:02,606; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 1/9378
2026-02-10 16:37:02,731; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 0/9378
2026-02-10 16:37:02,747; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/9378
2026-02-10 16:37:02,862; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/9378
2026-02-10 16:37:02,985; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/9378
2026-02-10 16:37:03,102; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/9378
2026-02-10 16:37:03,303; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_U.csv
2026-02-10 16:37:03,578; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SCO_U.csv
2026-02-10 16:37:03,588; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-07 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,592; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-07 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,595; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-07 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,598; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2011-11-04 00:00:00 2011-11-07 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,601; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,604; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,607; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,609; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2012-01-29 00:00:00 2012-01-31 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,613; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-10-29 00:00:00 2015-11-01 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,615; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-10-29 00:00:00 2015-11-01 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,618; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-10-29 00:00:00 2015-11-01 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,621; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-10-29 00:00:00 2015-11-01 00:00:00 usr with RIME, flagged 0/9378
2026-02-10 16:37:03,624; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-19 00:00:00 2016-03-21 00:00:00 dlr with RIME, flagged 0/9378
2026-02-10 16:37:03,627; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-19 00:00:00 2016-03-21 00:00:00 ulr with RIME, flagged 0/9378
2026-02-10 16:37:03,630; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-19 00:00:00 2016-03-21 00:00:00 dsr with RIME, flagged 0/9378
2026-02-10 16:37:03,632; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-03-19 00:00:00 2016-03-21 00:00:00 usr with RIME, flagged 0/9378
