THU_U2

 ======== test get_l2 ========= 

2026-02-10 16:46:44,400; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//raw/config/THU_U2.toml, inpath=../aws-l0//raw/THU_U2/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:46:44,467; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'THU_U2.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:46:45,003; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw.txt
2026-02-10 16:46:45,035; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw.txt
2026-02-10 16:46:45,110; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2019_raw.txt
2026-02-10 16:46:45,115; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw2.txt
2026-02-10 16:46:45,249; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw2.txt
2026-02-10 16:46:45,441; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2019_raw2.txt
2026-02-10 16:46:45,453; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2022_raw.txt
2026-02-10 16:46:45,966; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2022_raw.txt
2026-02-10 16:46:47,043; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2022_raw.txt
2026-02-10 16:46:47,050; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/THU_U2/THU_U2_2023_raw_transmitted.txt
2026-02-10 16:46:47,108; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2023_raw_transmitted.txt
2026-02-10 16:46:47,116; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2024_raw.txt
2026-02-10 16:46:47,345; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2024_raw.txt
2026-02-10 16:46:47,694; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2024_raw.txt
2026-02-10 16:46:47,722; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:46:56,532; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:47:04,473; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:47:08,122; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 16/275025
2026-02-10 16:47:11,390; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 9/275025
2026-02-10 16:47:11,798; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 86/275025
2026-02-10 16:47:15,116; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 4/275025
2026-02-10 16:47:15,484; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 26/275025
2026-02-10 16:47:18,815; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 4/275025
2026-02-10 16:47:19,180; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 106/275025
2026-02-10 16:47:22,477; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 53/275025
2026-02-10 16:47:22,797; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 39/275025
2026-02-10 16:47:26,063; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 25/275025
2026-02-10 16:47:26,388; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 35/275025
2026-02-10 16:47:29,680; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 1/275025
2026-02-10 16:47:30,008; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 13/275025
2026-02-10 16:47:33,255; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 6/275025
2026-02-10 16:47:33,594; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 8/275025
2026-02-10 16:47:36,857; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 2/275025
2026-02-10 16:47:37,175; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 10/275025
2026-02-10 16:47:40,411; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 6/275025
2026-02-10 16:47:40,729; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 21/275025
2026-02-10 16:47:43,957; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_6 (tol=0.5, factor=1.5): filtering 35/275025
2026-02-10 16:47:44,269; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 22/275025
2026-02-10 16:47:47,496; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_7 (tol=0.5, factor=1.5): filtering 12/275025
2026-02-10 16:47:47,823; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 37/275025
2026-02-10 16:47:51,088; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_8 (tol=0.5, factor=1.5): filtering 18/275025
2026-02-10 16:47:51,142; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_i (tol=1.0, factor=2.0): filtering 0/275025
2026-02-10 16:47:54,148; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i (tol=3.0, factor=2.2): filtering 0/275025
2026-02-10 16:47:57,230; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/275025
2026-02-10 16:48:00,323; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/275025
2026-02-10 16:48:06,334; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U2.csv
2026-02-10 16:48:10,760; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_U2.csv
2026-02-10 16:48:10,790; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-14 00:00:00 2018-10-22 00:00:00 dlr with RIME, flagged 1153/275025
